Respondent_ID,wgt,Q1#,TotalSchoolRoll,Stu_comp,Q1#A_verb,X1#,Q2#A,Q2#B,Q2#C,Q2#D,Q2a#A,Q2a#B,Q2a#C,Q2a#D,Q2a#E,Q2a#F,Q2a#G,Q2a#H,Q2a#I,Q2a#J,Q2a#K,Q2a#L,Q2b#A,Q2b#B,Q2b#C,Q2b#D,Q2b#E,Q3#A,Q4#A,Q4#B,Q4#C,Q4#D,Q4#E,Q4#F,Q4#CR,Q4#CS,Q4#CU,Q4#CR_verb,Q5#A,Q6#,Q6#CR_verb,Q7#AA,Q7#AB,Q7#AC,Q7#AD,Q7#AE,Q7#AF,Q7#AG,Q7#BA,Q7#BB,Q7#BC,Q7#BD,Q7#BE,Q7#BF,Q7#BG,Q8a#A,Q8a#B,Q8a#C,Q8b#A,Q8b#B,Q8b#C,Q8c#A,Q8c#B,Q8c#C,Q9#A,Q9#B,Q9#C,Q9#D,Q9#E,Q9#CR,Q9#CS,Q9#CT,Q9#CU,Q9#CR_verb,Q11#A,Q11#B,Q11#C,Q11#D,Q11#CR,Q11#CT,Q11#CU,Q11#CR_verb,Q15#A,Q15#B,Q15#C,Q15#ACR_verb,Q15#BCR_verb,Q15#CCR_verb,Q16#A,Q16#B,Q16#C,Q16#D,Q16#E,Q16#F,Q16#G,Q16#H,Q17#A,Q17#B,Q17#C,Q17#D,Q17#E,Q17#F,Q17#G,Q17#CR,Q17#CS,Q17#CT,Q17#CU,Q17#CR_verb,Q17#B_verb,Q17#C_verb,Q18a#A,Q18a#B,Q18a#C,Q18a#D,Q18a#CS,Q18a#CU,Q18b#,Q18c#,Q18d#,Q19#,Q20#A,Q20#B,Q20#C,Q20#D,Q20#E,Q20#CR,Q20#CS,Q20#CU,Q20#CR_verb,Q21#A,Q21#B,Q21#C,Q21#D,Q21#E,Q21#CR,Q21#CT,Q21#CU,Q21#CR_verb,Q22#A,Q22#B,Q22#C,Q22#D,Q22#E,Q22#F,Q22#G,Q22#H,Q22#I,Q22#J,Q22Text#_verb,Q22Text1#_verb,Q22Text2#_verb,Q22Text3#_verb,Q23#A,Q23#B,Q23#C,Q23#D,Q23#E,Q23#F,Q23#G,Q23#H,Q23#I,Q23#J,Q23#K,Q23#L,Q23#M,Q23#N,Q23Text#_verb,Q24#A,Q24#B,Q24#C,Q24#CT,Q24#CU,Q25#A,Q25#B,Q25#C,Q25#D,Q25#E,Q25#F,Q25#CR,Q25#CS,Q25#CT,Q25#CU,Q25#CR_verb,Q26#A,Q26#B,Q26#C,Q26#D,Q26#E,Q26#F,Q26#G,Q26#H,Q26#CR,Q26#CS,Q26#CT,Q26#CU,Q26#CR_verb,Q27#,Q28#A,Q28#B,Q28#CS,Q28#CT,Q28#CU,Q29#A,Q29#B,Q29#C,Q29#D,Q29#E,Q29#F,Q29#G,Q29#H,Q29#I,Q29#J,Q29#K,Q30#A,Q30#B,Q30#C,Q30#D,Q30#E,Q30#F,Q30#G,Q30#H,SchoolType,Definition,UrbanArea,Authority,GenderofStudents,TerritorialAuthoritywithAucklandLocalBoard,RegionalCouncil,MinistryofEducationLocalOffice,EducationRegion,GeneralElectorate,MaoriElectorate,CensusAreaUnit,Ward,EuropeanPakeha,Maori,Pasifika,Asian,MELAA,Other,InternationalStudents,Decile,DecileCollapsed,TypeOfSchool
ICTJ10007,0.652112808,1,889,4.445,200,200,3,5,3,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0, ,6,1, ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,99,4,5,2,2,5,4,2,5,1,0,1,1,1,0,0,0,0, ,0,0,1,0,0,0,0, ,8,13,16, , , ,2,2,2,3,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0, , , ,0,1,0,0,0,0,2,1,1,98,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0, ,1,1,1,99,99,99,1,99,99,99, , , , ,99,99,99,99,99,99,4,99,99,99,99,99,99,99, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,1,0,0,0,Blackboard.,1,0,0,1,0,0,1,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,Composite (Year 1-15),Not Applicable,Southern Auckland Zone,Private: Fully Reg.,Co-Educational,Auckland- Papakura,Auckland Region,Auckland South,Northern,Papakura,Hauraki-Waikato,Hingaia,Manurewa-Papakura Ward,583,35,9,196,10,6,50,10,3,2
ICTJ10010,1.159084093,1,370,2.466666667,150,150,5,3,3,2,1,2,2,98,2,2,1,2,1,2,2,2,1,2,2,2,2,3,1,0,0,0,0,0,0,0,0, ,6,1, ,1,1,1,1,0,0,0,0,0,0,0,1,0,0,5,5,1,1,2,1,95,95,95,0,0,0,0,0,0,1,0,0, ,0,0,0,0,1,0,0,Tela Teacher Laptop Scheme.,7,12,16, , , ,1,2,1,98,98,1,1,1,0,0,0,0,1,0,0,0,0,0,0, , , ,0,1,0,0,0,0,3,2,3,2,1,0,1,1,0,0,0,0, ,0,1,1,0,1,0,0,0, ,2,2,3,1,1,97,2,3,2,97, , , , ,98,2,3,2,3,1,4,1,2,2,1,1,1,1, ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0, ,97,0,0,1,0,0,3,3,98,3,4,3,98,2,2,3,3,2,98,3,1,2,2,1,2,Full Primary,Not Applicable,Porirua Zone,State: Not integrated,Co-Educational,Porirua City,Wellington Region,Wellington,Central South,Mana,Te Tai Hauauru,Adventure,Northern Ward,297,33,17,11,11,1,0,10,3,1
ICTJ10012,1.159084093,1,22,1.466666667,15,15,2,6,3,1,2,1,2,2,2,2,1,2,1,2,2,2,98,1,2,2,2,3,1,0,0,0,0,0,0,0,0, ,5,1, ,1,1,1,1,0,0,0,0,0,0,0,1,0,0,4,4,1,4,4,1,4,4,1,0,0,0,1,0,0,0,0,0, ,1,0,0,1,0,0,0, ,8,16,13, , , ,1,1,2,3,2,1,98,98,0,0,1,0,1,0,0,0,0,0,0, , ,NPDC.,1,1,0,1,0,0,2,1,3,2,1,1,1,0,0,0,0,0, ,1,0,0,0,1,0,0,0, ,2,97,1,1,3,3,3,97,3,97, , , , ,1,1,1,2,1,1,1,1,2,1,1,2,1,1, ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0, ,98,1,0,0,0,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,Full Primary,Not Applicable,Rural Area,State: Not integrated,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Central South,Taranaki-King Country,Te Tai Hauauru,Okoki-Okau,North Ward,9,13,0,0,0,0,0,3,1,1
ICTJ10013,1.159084093,1,77,1.327586207,58,58,2,3,6,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,1,0,0,0,0,0,0,0,0, ,6,96,"All newsletters sent home electronically, apart from a small percentage of students who do not have internet at home.",1,0,1,1,0,0,0,0,1,0,0,0,0,0,5,5,2,5,5,2,95,95,95,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,1,0, ,5,13,2, , , ,3,2,1,98,98,1,1,1,0,1,0,0,0,0,0,0,0,0,0, ,Equico., ,0,1,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0, ,0,1,0,0,0,0,0,0, ,3,1,97,1,1,97,97,97,98,97, , , , ,1,2,2,2,4,1,1,1,1,3,1,1,1,1, ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0, ,98,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,2,98,1,1,98,98,1,1,Full Primary,Not Applicable,Rural Area,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Northern,Rodney,Te Tai Tokerau,Tauhoa-Puhoi,Rodney Ward,70,5,0,0,2,0,0,7,3,1
ICTJ10019,0.652112808,1,724,4.826666667,150,150,6,3,1,1,2,1,2,2,2,2,2,2,2,2,1,2, , , , , ,1,1,0,0,0,0,0,0,0,0, ,6,1, ,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,3,3,5,1,0,1,0,1,0,0,0,0, ,0,0,1,0,0,0,0, ,9,8,13, , , ,3,3,2,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0, , , ,0,1,0,0,0,0,1,98,1,2,0,0,0,0,1,0,0,0, ,1,0,1,0,0,0,0,0, ,1,1,1,1,1,97,1,1,1,98, , , , ,2,1,1,2,1,1,4,1,1,1,1,1,1, , ,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0, ,97,0,0,1,0,0,2,3,2,3,3,1,4,3,3,3,3,4,4,1,1,3,3,3,1,Secondary (Year 11-15),Not Applicable,Northern Auckland Zone,State: Not integrated,Co-Educational,Auckland- Upper Harbour,Auckland Region,Auckland South,Northern,Helensville,Te Tai Tokerau,Albany,Albany Ward,460,53,9,128,60,3,11,10,3,2
ICTJ10020,1.159084093,1,27,1.227272727,22,22,4,4,3,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,0,0,0,0,0,0,0,0, ,6,1, ,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,95,95,95,95,95,95,1,0,0,0,0,1,0,0,0,We use a separate network for students - no access to school server.,0,0,0,0,0,1,0, ,2,8,13, , , ,1,1,3,3,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,Sold/passed onto parents., , ,1,1,0,1,0,0,2,3,2,2,1,1,1,1,1,0,0,0, ,0,1,1,0,1,0,0,0, ,3,2,3,3,3,2,3,3,3,3, , , ,"SMS, LMS, online resources, Ministry updates/information, student resources/online learning sites, data backup, cluster sharing resources, calendars/events.",2,1,1,1,1,1,4,1,2,1,1,2,1,1, ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0, ,98,0,1,0,0,0,4,4,98,98,98,3,98,98,98,98,98,98,98,98,98,98,98,98,98,Contributing,Not Applicable,Rural Area,State: Not integrated,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Southern,Waitaki,Te Tai Tonga,Mackenzie,Opuha Ward,23,1,0,3,0,0,0,8,3,1
ICTJ10026,1.159084093,1,318,2.051612903,155,155,4,3,5,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,1,0,0,0,0,0,0,0,0, ,6,1, ,1,1,1,1,0,0,0,0,0,0,0,1,0,0,98,98,95,95,95,95,95,95,95,0,0,0,0,0,0,1,0,0, ,1,1,0,0,0,0,0, ,2,8,13, , , ,98,98,1,1,98,1,98,1,0,0,0,0,0,0,0,0,0,1,0, , , ,1,1,0,1,0,0,2,1,98,2,1,0,1,0,1,0,0,0, ,1,0,1,0,0,0,0,0, ,3,1,97,1,1,97,3,3,3,98, , , , ,2,2,1,2,2,1,4,1,1,2,1,1,1, , ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,98,1,0,0,0,0,4,4,1,1,98,98,98,98,98,98,98,1,98,1,98,98,98,98,1,Contributing,Not Applicable,Ashburton,State: Not integrated,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Southern,Rangitata,Te Tai Tonga,Allenton,Ashburton Ward,225,48,28,13,3,1,0,8,3,1
ICTJ10030,1.159084093,1,234,2.489361702,94,94,3,4,5,99,1,1,99,99,99,99,1,99,1,99,1,99,1,99,99,99,99,3,1,0,0,0,0,0,0,0,0, ,5,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,5,2,5,5,4,95,95,95,1,1,1,0,1,0,0,0,0, ,1,1,0,0,0,0,0, ,16,12,13, , , ,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0, , , ,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0, ,0,1,1,0,1,0,0,0, ,2,2,2,1,1,99,2,3,3,99, , , , ,4,2,2,1,4,99,3,99,2,1,3,2,1,99, ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Are setup for moodle but have yet to use it.,0,0,0,0,0,0,0,0,0,1,0,0, ,98,0,0,1,0,0,3,3,1,3,3,3,3,3,3,3,3,1,3,1,98,3,98,1,1,Full Primary,Not Applicable,Rural Area,State: Not integrated,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Southern,Kaikoura,Te Tai Tonga,Leithfield,Amberley Ward,198,26,4,5,0,1,0,7,3,1
ICTJ10049,1.159084093,1,180,6.923076923,26,26,4,5,4,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,5,1,0,1,0,0,0,0,0,0, ,4,1, ,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,5,1,95,95,95,95,95,95,0,0,0,0,0,0,1,0,0, ,1,1,1,0,0,0,0, ,8,9,13, , , ,1,1,2,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0, , , ,1,1,0,1,0,0,2,1,1,98,1,0,1,0,0,1,0,0,More time for teachers to be able to engage and become comfortable with providing learning opportunities using technologies.,0,1,1,0,1,0,0,0, ,2,3,97,1,2,3,2,3,3,98, , , , ,1,2,1,2,4,1,3,1,1,1,1,1,2,1, ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0, ,98,0,0,1,0,0,3,4,4,4,98,4,4,4,4,4,4,3,3,4,98,98,98,3,2,Contributing,Not Applicable,Lower Hutt Zone,State: Not integrated,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Central South,Hutt South,Ikaroa-Rawhiti,Arakura,Wainuiomata Ward,55,99,25,1,0,0,0,3,1,1
ICTJ10061,1.159084093,1,43,0.955555556,45,45,5,4,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,0,0,1,0,0,0,0,0,0, ,98,96,I didn't.,1,1,1,1,0,0,0,0,0,0,0,1,0,0,98,98,98,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0, ,0,0,1,1,1,0,0,Refurbished.,13,8,9, , , ,1,1,98,98,98,1,3,3,0,0,0,1,0,0,0,0,0,0,0, , , ,0,0,0,0,1,0,98,3,2,2,1,1,1,1,1,1,0,0,We need to be snupped and connected to UFB.,1,0,0,0,0,0,0,0, ,3,1,3,97,97,3,2,3,97,98, , , , ,1,1,1,3,3,1,1,1,1,1,1,1,1,1, ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,1,0,0, ,98,1,0,0,0,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,Contributing,Not Applicable,Rural Area,State: Not integrated,Co-Educational,Waitomo District,Waikato Region,Hamilton,Central North,Taranaki-King Country,Te Tai Hauauru,Mokauiti,Waitomo Rural Ward,24,18,0,0,0,1,0,5,2,1
