gender,age,qual_level,job_situation,used_computer,uses_a_computer_in_everyday_life_outside_work,email_use,using_internet_for_knowledge,using_internet_for_transactions,programming_language_use,participate_in_online_discussions,contribution_to_charity_or_volunteering,perception_of_self_impact_on_government,trust_in_others,people_are_likely_to_take_advantage_of_you,self_reported_health_level
Male,20-24,ISCED 3C shorter than 2 years,"Full-time employed (self-employed, employee)",Yes,No,NA,NA,NA,NA,NA,Never,Neither agree nor disagree,Agree,Neither agree nor disagree,Very good
Female,60-65,ISCED 3C 2 years or more,Fulfilling domestic tasks or looking after children/family,Yes,Yes,At least once a week but not every day,At least once a week but not every day,Less than once a week but at least once a month,Never,Less than once a week but at least once a month,Less than once a month,Agree,Agree,Agree,Very good
Male,55-59,ISCED 1,Unemployed,Yes,No,NA,NA,NA,NA,NA,Less than once a week but at least once a month,Strongly disagree,Strongly agree,Strongly agree,Very good
Female,30-34,ISCED 2,Fulfilling domestic tasks or looking after children/family,Yes,Yes,At least once a week but not every day,At least once a week but not every day,At least once a week but not every day,Never,At least once a week but not every day,Less than once a week but at least once a month,Disagree,Neither agree nor disagree,Strongly agree,Good
Female,60-65,ISCED 2,"Part-time employed (self-employed, employee)",Yes,Yes,Every day,Every day,Less than once a month,Never,Never,Never,Disagree,Agree,Agree,Good
Female,20-24,Foreign qualification,Unemployed,Yes,Yes,Every day,Every day,Less than once a week but at least once a month,Never,At least once a week but not every day,At least once a week but not every day,Neither agree nor disagree,Neither agree nor disagree,Agree,Good
Female,50-54,ISCED 2,Fulfilling domestic tasks or looking after children/family,Yes,Yes,Every day,At least once a week but not every day,At least once a week but not every day,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Fair
Male,45-49,ISCED 5B,Permanently disabled,Yes,Yes,Never,Never,Never,Never,Never,Less than once a month,Neither agree nor disagree,Agree,Agree,Good
Female,55-59,ISCED 2,Fulfilling domestic tasks or looking after children/family,No,NA,NA,NA,NA,NA,NA,Less than once a week but at least once a month,Agree,Agree,Agree,Very good
Female,25-29,ISCED 4C,Fulfilling domestic tasks or looking after children/family,Yes,Yes,Every day,At least once a week but not every day,Every day,Never,At least once a week but not every day,Less than once a month,Neither agree nor disagree,Agree,Agree,Very good
Male,55-59,ISCED 3C 2 years or more,"Pupil, student",No,NA,NA,NA,NA,NA,NA,Less than once a week but at least once a month,Strongly agree,Agree,Strongly agree,Good
Female,60-65,ISCED 2,"Full-time employed (self-employed, employee)",No,NA,NA,NA,NA,NA,NA,Never,Agree,Agree,Agree,Good
Male,45-49,ISCED 4C,"Full-time employed (self-employed, employee)",Yes,Yes,Never,Never,Never,Never,Never,Never,Agree,Agree,Strongly agree,Fair
Female,50-54,"ISCED 5A, bachelor degree",Permanently disabled,Yes,Yes,Every day,Every day,Every day,Never,At least once a week but not every day,Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Poor
Male,45-49,ISCED 3C shorter than 2 years,"Full-time employed (self-employed, employee)",Yes,No,NA,NA,NA,NA,NA,Never,Disagree,Agree,Strongly agree,Good
Male,55-59,ISCED 2,Permanently disabled,Yes,Yes,Every day,Less than once a month,Less than once a month,Never,Never,Never,Neither agree nor disagree,Agree,Agree,Fair
Female,40-44,ISCED 3A-B,Fulfilling domestic tasks or looking after children/family,Yes,No,NA,NA,NA,NA,NA,Never,Agree,Agree,Agree,Fair
Female,30-34,ISCED 2,Fulfilling domestic tasks or looking after children/family,Yes,Yes,Every day,Every day,Every day,Never,Every day,At least once a week but not every day,Disagree,Agree,Agree,Very good
Female,35-39,ISCED 3A-B,Fulfilling domestic tasks or looking after children/family,Yes,Yes,At least once a week but not every day,Every day,Every day,Never,Every day,Never,Strongly disagree,Strongly agree,Strongly agree,Good
Male,45-49,ISCED 5B,"Part-time employed (self-employed, employee)",Yes,No,NA,NA,NA,NA,NA,At least once a week but not every day,Disagree,Disagree,Neither agree nor disagree,Very good
Male,35-39,ISCED 2,"Full-time employed (self-employed, employee)",Yes,No,NA,NA,NA,NA,NA,Less than once a month,Strongly disagree,Strongly agree,Strongly agree,Fair
