q_name,response,q_label,n
IC001Q01TA,"Yes, and I use it",Available for you to use at home: Desktop computer,2202
IC001Q01TA,"Yes, but I don't use it",Available for you to use at home: Desktop computer,824
IC001Q01TA,No,Available for you to use at home: Desktop computer,906
IC001Q02TA,"Yes, and I use it","Available for you to use at home: Portable laptop, or notebook",3103
IC001Q02TA,"Yes, but I don't use it","Available for you to use at home: Portable laptop, or notebook",468
IC001Q02TA,No,"Available for you to use at home: Portable laptop, or notebook",364
IC001Q03TA,"Yes, and I use it","Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",2229
IC001Q03TA,"Yes, but I don't use it","Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",917
IC001Q03TA,No,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",774
IC001Q04TA,"Yes, and I use it",Available for you to use at home: Internet connection,3744
IC001Q04TA,"Yes, but I don't use it",Available for you to use at home: Internet connection,51
IC001Q04TA,No,Available for you to use at home: Internet connection,130
IC001Q05TA,"Yes, and I use it","Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",2030
IC001Q05TA,"Yes, but I don't use it","Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",1063
IC001Q05TA,No,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",830
IC001Q06TA,"Yes, and I use it",Available for you to use at home: <Cell phone> (without Internet access),1329
IC001Q06TA,"Yes, but I don't use it",Available for you to use at home: <Cell phone> (without Internet access),831
IC001Q06TA,No,Available for you to use at home: <Cell phone> (without Internet access),1743
IC001Q07TA,"Yes, and I use it",Available for you to use at home: <Cell phone> (with Internet access),3552
IC001Q07TA,"Yes, but I don't use it",Available for you to use at home: <Cell phone> (with Internet access),229
IC001Q07TA,No,Available for you to use at home: <Cell phone> (with Internet access),153
IC001Q08TA,"Yes, and I use it","Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",2688
IC001Q08TA,"Yes, but I don't use it","Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",723
IC001Q08TA,No,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",509
IC001Q09TA,"Yes, and I use it",Available for you to use at home: Printer,2613
IC001Q09TA,"Yes, but I don't use it",Available for you to use at home: Printer,693
IC001Q09TA,No,Available for you to use at home: Printer,601
IC001Q10TA,"Yes, and I use it",Available for you to use at home: USB (memory) stick,2884
IC001Q10TA,"Yes, but I don't use it",Available for you to use at home: USB (memory) stick,856
IC001Q10TA,No,Available for you to use at home: USB (memory) stick,170
IC001Q11TA,"Yes, and I use it","Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",511
IC001Q11TA,"Yes, but I don't use it","Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",718
IC001Q11TA,No,"Available for you to use at home: <ebook reader>, e.g. <Amazon® Kindle>",2662
IC002Q01NA,6 years old or younger,How old were you when you first used a digital device?,1248
IC002Q01NA,7-9 years old,How old were you when you first used a digital device?,1369
IC002Q01NA,10-12 years old,How old were you when you first used a digital device?,983
IC002Q01NA,13 years old or older,How old were you when you first used a digital device?,291
