q_name,q_label,gender,response,n
IC001Q01TA,Available for you to use at home: Desktop computer,Female,"Yes, and I use it",983
IC001Q01TA,Available for you to use at home: Desktop computer,Female,"Yes, but I don't use it",492
IC001Q01TA,Available for you to use at home: Desktop computer,Female,No,496
IC001Q01TA,Available for you to use at home: Desktop computer,Male,"Yes, and I use it",1219
IC001Q01TA,Available for you to use at home: Desktop computer,Male,"Yes, but I don't use it",332
IC001Q01TA,Available for you to use at home: Desktop computer,Male,No,410
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook",Female,"Yes, and I use it",1603
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook",Female,"Yes, but I don't use it",194
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook",Female,No,175
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook",Male,"Yes, and I use it",1500
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook",Male,"Yes, but I don't use it",274
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook",Male,No,189
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",Female,"Yes, and I use it",1070
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",Female,"Yes, but I don't use it",496
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",Female,No,405
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",Male,"Yes, and I use it",1159
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",Male,"Yes, but I don't use it",421
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad®>, <BlackBerry® PlayBook>)",Male,No,369
IC001Q04TA,Available for you to use at home: Internet connection,Female,"Yes, and I use it",1869
IC001Q04TA,Available for you to use at home: Internet connection,Female,"Yes, but I don't use it",24
IC001Q04TA,Available for you to use at home: Internet connection,Female,No,74
IC001Q04TA,Available for you to use at home: Internet connection,Male,"Yes, and I use it",1875
IC001Q04TA,Available for you to use at home: Internet connection,Male,"Yes, but I don't use it",27
IC001Q04TA,Available for you to use at home: Internet connection,Male,No,56
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",Female,"Yes, and I use it",644
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",Female,"Yes, but I don't use it",789
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",Female,No,532
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",Male,"Yes, and I use it",1386
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",Male,"Yes, but I don't use it",274
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony® PlayStation®>",Male,No,298
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access),Female,"Yes, and I use it",587
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access),Female,"Yes, but I don't use it",455
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access),Female,No,916
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access),Male,"Yes, and I use it",742
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access),Male,"Yes, but I don't use it",376
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access),Male,No,827
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access),Female,"Yes, and I use it",1813
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access),Female,"Yes, but I don't use it",101
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access),Female,No,55
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access),Male,"Yes, and I use it",1739
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access),Male,"Yes, but I don't use it",128
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access),Male,No,98
IC001Q08TA,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",Female,"Yes, and I use it",1352
IC001Q08TA,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",Female,"Yes, but I don't use it",385
IC001Q08TA,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",Female,No,233
IC001Q08TA,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",Male,"Yes, and I use it",1336
IC001Q08TA,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod® or similar)",Male,"Yes, but I don't use it",338
