"Proposed_General_Electorate_ascii","Proposed_General_Electorate","General_Electoral_Population"
"Auckland Central","Auckland Central","62919"
"Banks Peninsula","Banks Peninsula","67129"
"Bay of Plenty","Bay of Plenty","64223"
"Botany","Botany","65124"
"Christchurch Central","Christchurch Central","65571"
"Christchurch East","Christchurch East","64853"
"Clutha-Southland","Clutha-Southland","64228"
"Coromandel","Coromandel","64568"
"Dunedin North","Dunedin North","67167"
"Dunedin South","Dunedin South","65309"
"East Coast","East Coast","66175"
"East Coast Bays","East Coast Bays","64635"
"Epsom","Epsom","62147"
"Flat Bush","Flat Bush","66306"
"Hamilton East","Hamilton East","67683"
"Hamilton West","Hamilton West","67010"
"Helensville","Helensville","65617"
"Hutt South","Hutt South","66564"
"Ilam","Ilam","67502"
"Invercargill","Invercargill","65848"
"Kaikoura","Kaikōura","64383"
"Kelston","Kelston","62689"
"Mana","Mana","65980"
"Mangere","Māngere","65515"
"Manukau East","Manukau East","66007"
"Manurewa","Manurewa","66763"
"Maungakiekie","Maungakiekie","63302"
"Mt Albert","Mt Albert","64118"
"Mt Roskill","Mt Roskill","66303"
"Napier","Napier","63257"
"Nelson","Nelson","64019"
"New Lynn","New Lynn","67217"
"New Plymouth","New Plymouth","66810"
"Northcote","Northcote","65249"
"Northland","Northland","67803"
"North Shore","North Shore","65331"
"Ohariu","Ōhāriu","62261"
"Otaki","Ōtaki","63263"
"Pakuranga","Pakuranga","62498"
"Palmerston North","Palmerston North","62127"
"Papakura","Papakura","61820"
"Port Waikato","Port Waikato","61963"
"Rangitata","Rangitata","67816"
"Rangitikei","Rangitīkei","63668"
"Remutaka","Remutaka","67028"
"Rongotai","Rongotai","62897"
"Rotorua","Rotorua","63585"
"Selwyn","Selwyn","62209"
"Tamaki","Tāmaki","61742"
"Taranaki-King Country","Taranaki-King Country","63450"
"Taupo","Taupō","67012"
"Tauranga","Tauranga","66787"
"Te Atatu","Te Atatū","67421"
"Tukituki","Tukituki","66560"
"Upper Harbour","Upper Harbour","66240"
"Waikato","Waikato","65332"
"Waimakariri","Waimakariri","65942"
"Wairarapa","Wairarapa","64402"
"Waitaki","Waitaki","64983"
"Wellington Central","Wellington Central","64272"
"West Coast-Tasman","West Coast-Tasman","63677"
"Whanganui","Whanganui","64175"
"Whangaparaoa","Whangaparāoa","65513"
"Whangarei","Whangarei","67131"
"Wigram","Wigram","66396"
